 ,stack,counts,err
302,302,1633179.000,1277.959
303,303,1629582.000,1276.551
304,304,1619089.000,1272.434
305,305,1612941.000,1270.016
306,306,1606515.000,1267.484
307,307,1600778.000,1265.219
308,308,1594228.000,1262.627
309,309,1588759.000,1260.460
310,310,1581546.000,1257.595
311,311,1572508.000,1253.997
312,312,1571289.000,1253.511
313,313,1573908.000,1254.555
314,314,1557889.000,1248.154
315,315,1551403.000,1245.553
316,316,1545264.000,1243.086
317,317,1541823.000,1241.702
318,318,1535067.000,1238.978
319,319,1523902.000,1234.464
320,320,1516209.000,1231.344
321,321,1506641.000,1227.453
322,322,1492768.000,1221.789
323,323,1488076.000,1219.867
324,324,1482081.000,1217.407
325,325,1472034.000,1213.274
326,326,1460418.000,1208.478
327,327,1459478.000,1208.089
328,328,1448165.000,1203.397
329,329,1437277.000,1198.865
330,330,1434245.000,1197.600
331,331,1421663.000,1192.335
332,332,1413065.000,1188.724
333,333,1405591.000,1185.576
334,334,1397220.000,1182.041
335,335,1386657.000,1177.564
336,336,1377736.000,1173.770
337,337,1369476.000,1170.246
338,338,1360742.000,1166.508
339,339,1355945.000,1164.451
340,340,1344290.000,1159.435
341,341,1335388.000,1155.590
342,342,1323885.000,1150.602
343,343,1319137.000,1148.537
344,344,1309024.000,1144.126
345,345,1298780.000,1139.640
346,346,1288407.000,1135.080
347,347,1277358.000,1130.203
348,348,1268798.000,1126.409
349,349,1257007.000,1121.163
350,350,1247316.000,1116.833
351,351,1240769.000,1113.898
352,352,1229090.000,1108.643
353,353,1219698.000,1104.399
354,354,1204341.000,1097.425
355,355,1201231.000,1096.007
356,356,1192571.000,1092.049
357,357,1187258.000,1089.614
358,358,1184346.000,1088.277
359,359,1174314.000,1083.658
360,360,1169978.000,1081.655
361,361,1164047.000,1078.910
362,362,1154529.000,1074.490
363,363,1148400.000,1071.634
364,364,1138938.000,1067.210
365,365,1130183.000,1063.101
366,366,1129836.000,1062.937
367,367,1118918.000,1057.789
368,368,1111929.000,1054.480
369,369,1108482.000,1052.845
370,370,1095046.000,1046.444
371,371,1084809.000,1041.542
372,372,1080202.000,1039.328
373,373,1070290.000,1034.548
374,374,1065353.000,1032.159
375,375,1060765.000,1029.934
376,376,1059302.000,1029.224
377,377,1052633.000,1025.979
378,378,1051071.000,1025.218
379,379,1047506.000,1023.477
380,380,1038681.000,1019.157
381,381,1036312.000,1017.994
382,382,1033658.000,1016.690
383,383,1025392.000,1012.616
384,384,1021016.000,1010.453
385,385,1015902.000,1007.920
386,386,1009817.000,1004.897
387,387,1001883.000,1000.941
388,388,993385.000,996.687
389,389,983973.000,991.954
390,390,973967.000,986.898
391,391,965962.000,982.834
392,392,959444.000,979.512
393,393,953337.000,976.390
394,394,943938.000,971.565
395,395,937460.000,968.225
396,396,933159.000,966.002
397,397,923394.000,960.934
398,398,917790.000,958.014
399,399,912242.000,955.114
400,400,904731.000,951.173
401,401,898862.000,948.083
402,402,889392.000,943.076
403,403,886536.000,941.560
404,404,877622.000,936.815
405,405,873652.000,934.694
406,406,865086.000,930.100
407,407,854305.000,924.286
408,408,846779.000,920.206
409,409,843802.000,918.587
410,410,836882.000,914.813
411,411,827184.000,909.497
412,412,825074.000,908.336
413,413,818617.000,904.775
414,414,816797.000,903.768
415,415,807104.000,898.390
416,416,803992.000,896.656
417,417,797450.000,893.001
418,418,787280.000,887.288
419,419,782825.000,884.774
420,420,777448.000,881.730
421,421,768188.000,876.463
422,422,766088.000,875.265
423,423,760026.000,871.795
424,424,754084.000,868.380
425,425,751990.000,867.174
426,426,741117.000,860.882
427,427,738212.000,859.193
428,428,735919.000,857.857
429,429,728182.000,853.336
430,430,723093.000,850.349
431,431,720211.000,848.652
432,432,712345.000,844.005
433,433,705142.000,839.727
434,434,704615.000,839.413
435,435,702619.000,838.224
436,436,697931.000,835.423
437,437,696944.000,834.832
438,438,688198.000,829.577
439,439,684412.000,827.292
440,440,677434.000,823.064
441,441,671920.000,819.707
442,442,666255.000,816.244
443,443,658952.000,811.759
444,444,653973.000,808.686
445,445,651352.000,807.064
446,446,644930.000,803.075
447,447,641942.000,801.213
448,448,635137.000,796.955
449,449,629928.000,793.680
450,450,625165.000,790.674
451,451,619546.000,787.112
452,452,615546.000,784.567
453,453,609376.000,780.625
454,454,601778.000,775.744
455,455,599197.000,774.078
456,456,594680.000,771.155
457,457,587798.000,766.680
458,458,579061.000,760.961
459,459,575923.000,758.896
460,460,574239.000,757.786
461,461,572993.000,756.963
462,462,569743.000,754.813
463,463,566578.000,752.714
464,464,564428.000,751.284
465,465,558191.000,747.122
466,466,555558.000,745.358
467,467,548655.000,740.712
468,468,545557.000,738.618
469,469,541082.000,735.583
470,470,537519.000,733.157
471,471,535299.000,731.641
472,472,530219.000,728.161
473,473,523383.000,723.452
474,474,517827.000,719.602
475,475,513661.000,716.701
476,476,507323.000,712.266
477,477,501668.000,708.285
478,478,497832.000,705.572
479,479,493869.000,702.758
480,480,487823.000,698.443
481,481,484342.000,695.947
482,482,479313.000,692.324
483,483,474504.000,688.843
484,484,471579.000,686.716
485,485,465484.000,682.264
486,486,460476.000,678.584
487,487,456221.000,675.441
488,488,452388.000,672.598
489,489,452067.000,672.359
490,490,446610.000,668.289
491,491,442970.000,665.560
492,492,440811.000,663.936
493,493,437542.000,661.470
494,494,436644.000,660.790
495,495,435057.000,659.589
496,496,431054.000,656.547
497,497,429548.000,655.399
498,498,423985.000,651.141
499,499,423614.000,650.856
500,500,419882.000,647.983
501,501,417259.000,645.956
502,502,413786.000,643.262
503,503,410455.000,640.668
504,504,409445.000,639.879
505,505,409087.000,639.599
506,506,408161.000,638.875
507,507,406440.000,637.526
508,508,403805.000,635.457
509,509,399946.000,632.413
510,510,398221.000,631.048
511,511,396153.000,629.407
512,512,392977.000,626.879
513,513,388334.000,623.165
514,514,384785.000,620.310
515,515,381084.000,617.320
516,516,378424.000,615.162
517,517,377898.000,614.734
518,518,377910.000,614.744
519,519,375455.000,612.744
520,520,373087.000,610.808
521,521,369348.000,607.740
522,522,366084.000,605.049
523,523,365247.000,604.357
524,524,360232.000,600.193
525,525,358720.000,598.932
526,526,355956.000,596.620
527,527,352872.000,594.030
528,528,348761.000,590.560
529,529,345321.000,587.640
530,530,338313.000,581.647
531,531,333375.000,577.386
532,532,332541.000,576.664
533,533,331470.000,575.734
534,534,331489.000,575.751
535,535,330143.000,574.581
536,536,327717.000,572.466
537,537,323187.000,568.495
538,538,324504.000,569.653
539,539,321995.000,567.446
540,540,319530.000,565.270
541,541,317747.000,563.691
542,542,317363.000,563.350
543,543,314338.000,560.659
544,544,309435.000,556.269
545,545,310237.000,556.989
546,546,307748.000,554.750
547,547,303828.000,551.206
548,548,303371.000,550.791
549,549,299971.000,547.696
550,550,298652.000,546.491
551,551,297794.000,545.705
552,552,294100.000,542.310
553,553,293041.000,541.333
554,554,289831.000,538.360
555,555,290072.000,538.583
556,556,289148.000,537.725
557,557,289586.000,538.132
558,558,290103.000,538.612
559,559,288054.000,536.707
560,560,286099.000,534.882
561,561,285059.000,533.909
562,562,282880.000,531.865
563,563,283665.000,532.602
564,564,282145.000,531.173
565,565,279558.000,528.732
566,566,276700.000,526.023
567,567,276490.000,525.823
568,568,274545.000,523.970
569,569,271624.000,521.176
570,570,270311.000,519.914
571,571,266345.000,516.086
572,572,265902.000,515.657
573,573,263453.000,513.277
574,574,259841.000,509.746
575,575,257900.000,507.839
576,576,255728.000,505.696
577,577,255245.000,505.218
578,578,255832.000,505.798
579,579,254176.000,504.159
580,580,254126.000,504.109
581,581,252888.000,502.880
582,582,252023.000,502.019
583,583,250957.000,500.956
584,584,249755.000,499.755
585,585,245548.000,495.528
586,586,247600.000,497.594
587,587,244079.000,494.044
588,588,242682.000,492.628
589,589,240768.000,490.681
590,590,239102.000,488.981
591,591,237508.000,487.348
592,592,233173.000,482.880
593,593,232996.000,482.697
594,594,230547.000,480.153
595,595,229614.000,479.181
596,596,227771.000,477.254
597,597,224768.000,474.097
598,598,224613.000,473.934
599,599,222085.000,471.259
600,600,219586.000,468.600
601,601,217985.000,466.889
602,602,216097.000,464.862
603,603,216477.000,465.271
604,604,214207.000,462.825
605,605,212341.000,460.805
606,606,209932.000,458.183
607,607,207704.000,455.746
608,608,206775.000,454.725
609,609,205273.000,453.071
610,610,204479.000,452.194
611,611,203059.000,450.621
612,612,201337.000,448.706
613,613,199356.000,446.493
614,614,198485.000,445.517
615,615,195246.000,441.866
616,616,193503.000,439.890
617,617,192710.000,438.987
618,618,190372.000,436.316
619,619,189303.000,435.090
620,620,187849.000,433.416
621,621,185720.000,430.952
622,622,184359.000,429.370
623,623,183192.000,428.009
624,624,180714.000,425.105
625,625,181344.000,425.845
